filename,label_noise,macro_f1,model,noise_category
paperA_cnn_hard_s3_cla0p8_env0p2_lab0p1.json,0.1,0.9699202216418414,cnn,10%
paperA_cnn_hard_s4_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s4_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s4_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s4_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s4_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s4_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s4_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s4_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s4_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s4_cla0p4_env0p0_lab0p0.json,0.0,0.925315943968626,cnn,0%
paperA_cnn_hard_s4_cla0p4_env0p0_lab0p05.json,0.05,0.9325460310381879,cnn,5%
paperA_cnn_hard_s4_cla0p4_env0p0_lab0p1.json,0.1,0.9279045554021967,cnn,10%
paperA_cnn_hard_s4_cla0p4_env0p1_lab0p0.json,0.0,0.9884474587007386,cnn,0%
paperA_cnn_hard_s4_cla0p4_env0p1_lab0p05.json,0.05,0.9826891166769951,cnn,5%
paperA_cnn_hard_s4_cla0p4_env0p1_lab0p1.json,0.1,0.9825063015755001,cnn,10%
paperA_cnn_hard_s4_cla0p4_env0p2_lab0p0.json,0.0,0.9821677648350629,cnn,0%
paperA_cnn_hard_s4_cla0p4_env0p2_lab0p05.json,0.05,0.9916508908233502,cnn,5%
paperA_cnn_hard_s4_cla0p4_env0p2_lab0p1.json,0.1,0.9873803149658235,cnn,10%
paperA_cnn_hard_s4_cla0p8_env0p0_lab0p0.json,0.0,0.7024065804782438,cnn,0%
paperA_cnn_hard_s4_cla0p8_env0p0_lab0p05.json,0.05,0.7119532045287575,cnn,5%
